     ,activation_hidden ,alpha ,batch_size ,hidden_layer_sizes ,lambd   ,learning_rate ,learning_rate_init ,nesterov ,tau
 160 ,logistic          , 0.75 ,       128 ,"[30, 60]"         ,0.00025 ,linear_decay  ,            0.1    ,False    ,200
 161 ,logistic          , 0.8  ,       128 ,"[30, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,True     ,500
 162 ,logistic          , 0.8  ,       128 ,"[30, 60]"         ,0.001   ,linear_decay  ,            0.1    ,False    ,500
 163 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.1    ,True     ,200
 164 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,            0.01   ,False    ,500
 165 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.005  ,False    ,500
 166 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.001   ,linear_decay  ,            0.01   ,True     ,500
 167 ,logistic          , 0.8  ,       128 ,"[30, 30]"         ,0.0001  ,linear_decay  ,            0.1    ,False    ,500
 168 ,logistic          , 0.75 ,       128 ,"[30, 30]"         ,0.0001  ,linear_decay  ,            0.1    ,False    ,200
 169 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,            0.1    ,True     ,500
 170 ,logistic          , 0.85 ,       128 ,"[30, 60]"         ,0.0005  ,linear_decay  ,            0.01   ,False    ,500
 171 ,logistic          , 0.85 ,       128 ,"[30, 30]"         ,0.0005  ,linear_decay  ,            0.01   ,False    ,500
 172 ,logistic          , 0.85 ,       128 ,"[30, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,True     ,500
 173 ,logistic          , 0.75 ,       128 ,"[30, 60]"         ,0.00025 ,linear_decay  ,            0.1    ,False    ,500
 174 ,logistic          , 0.9  ,       128 ,"[30, 30]"         ,0.001   ,linear_decay  ,            0.01   ,False    ,500
 175 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,            0.01   ,True     ,500
 176 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.005  ,True     ,200
 177 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.1    ,True     ,200
