     ,activation_hidden ,alpha ,batch_size ,epochs ,hidden_layer_sizes ,lambd  ,learning_rate ,learning_rate_init ,nesterov
 138 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
 139 ,tanh              ,  0.0 ,       1   ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0001 ,False
 140 ,logistic          ,  0.8 ,       1   ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0001 ,False
 141 ,tanh              ,  0.0 ,       1   ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0005 ,False
 142 ,logistic          ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.1    ,False
 143 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.001  ,True
 144 ,logistic          ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.1    ,False
 145 ,tanh              ,  0.5 ,      64   ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,True
 146 ,logistic          ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,False
 147 ,logistic          ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.1    ,False
 148 ,logistic          ,  0.8 ,       1   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0005 ,False
 149 ,logistic          ,  0.8 ,       1   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
 150 ,logistic          ,  0.8 ,       1   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0001 ,False
 151 ,tanh              ,  0.0 ,       1   ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0001 ,False
 152 ,logistic          ,  0.0 ,       1   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,False
 153 ,logistic          ,  0.0 ,       1   ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,False
 154 ,logistic          ,  0.0 ,      64   ,   800 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.1    ,False
 155 ,tanh              ,  0.0 ,       1   ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0005 ,False
 156 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,True
 157 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,True
 158 ,logistic          ,  0.5 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,True
 159 ,logistic          ,  0.8 ,       1   ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
 160 ,logistic          ,  0.0 ,       1   ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,False
 161 ,logistic          ,  0.8 ,       1   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0001 ,False
 162 ,tanh              ,  0.0 ,       1   ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0001 ,False
 163 ,logistic          ,  0.0 ,      64   ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.1    ,False
 164 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 165 ,tanh              ,  0.0 ,       1   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0005 ,False
 166 ,logistic          ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.1    ,False
 167 ,tanh              ,  0.0 ,       1   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0001 ,False
 168 ,logistic          ,  0.0 ,       1.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.1    ,False
 169 ,logistic          ,  0.8 ,       1   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0001 ,False
 170 ,logistic          ,  0.0 ,       1   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
 171 ,tanh              ,  0.0 ,       1   ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
 172 ,logistic          ,  0.5 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.1    ,True
 173 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
