,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
376,logistic,tanh,16,[4],0.001,0.05,0.7,uniform
377,logistic,logistic,1,[4],0.001,0.001,,
378,tanh,tanh,16,[4],0.001,0.05,0.7,uniform
379,logistic,logistic,1,[4],0.005,0.001,,
380,tanh,tanh,8,[4],0.001,0.01,0.7,uniform
381,tanh,tanh,1,[4],0.01,0.01,0.7,uniform
382,tanh,tanh,1,[4],0.01,0.01,,
383,tanh,tanh,32,[4],0.001,0.05,0.7,uniform
384,tanh,logistic,1,[4],0.002,0.05,,
385,tanh,tanh,8,[4],0.005,0.05,,
386,tanh,tanh,8,[4],0.002,0.01,0.7,uniform
387,logistic,tanh,8,[4],0.01,0.05,,
388,tanh,tanh,1,[4],0.002,0.001,0.7,uniform
389,logistic,tanh,32,[4],0.002,0.005,,
390,tanh,tanh,16,[4],0.005,0.05,,
391,tanh,tanh,32,[4],0.002,0.05,,
392,logistic,tanh,1,[4],0.002,0.01,,
393,tanh,tanh,1,[4],0.002,0.005,0.7,uniform
394,logistic,tanh,8,[4],0.001,0.05,,
395,logistic,logistic,16,[4],0.005,0.01,0.7,uniform
396,tanh,tanh,16,[4],0.01,0.05,,
397,logistic,tanh,16,[4],0.001,0.001,0.7,uniform
398,logistic,tanh,1,[4],0.01,0.01,0.7,uniform
399,tanh,tanh,32,[4],0.001,0.05,,
400,tanh,tanh,8,[4],0.002,0.05,,
401,logistic,tanh,1,[4],0.001,0.01,,
402,tanh,tanh,32,[4],0.002,0.001,,
403,logistic,logistic,1,[4],0.002,0.001,0.7,uniform
404,logistic,tanh,1,[4],0.002,0.005,,
405,logistic,tanh,16,[4],0.001,0.005,,
406,tanh,tanh,16,[4],0.002,0.05,0.7,uniform
407,logistic,tanh,32,[4],0.005,0.005,,
408,logistic,tanh,8,[4],0.005,0.05,,
409,logistic,tanh,32,[4],0.001,0.01,,
410,tanh,logistic,32,[4],0.001,0.001,,
411,logistic,tanh,1,[4],0.005,0.0001,0.7,uniform
412,logistic,tanh,1,[4],0.001,0.0001,0.7,uniform
413,tanh,logistic,32,[4],0.002,0.001,,
414,logistic,logistic,16,[4],0.001,0.01,0.7,uniform
415,tanh,tanh,32,[4],0.001,0.001,0.7,uniform
416,logistic,logistic,1,[4],0.002,0.001,,
417,tanh,tanh,32,[4],0.005,0.001,0.7,uniform
418,logistic,tanh,8,[4],0.005,0.001,,
419,tanh,tanh,32,[4],0.002,0.001,0.7,uniform
420,logistic,logistic,32,[4],0.001,0.05,,
421,tanh,tanh,8,[4],0.005,0.0001,,
422,logistic,logistic,8,[4],0.005,0.005,,
423,logistic,tanh,1,[4],0.002,0.05,,
