,alpha,hidden_layer_sizes,lambd,learning_rate,learning_rate_init,nesterov
289,0.7,"[30, 30, 30]",0.0001,linear_decay,0.08,False
290,0.8,"[60, 30]",0.001,linear_decay,0.12,False
291,0.65,"[30, 30, 30]",0.0005,linear_decay,0.06,False
292,0.6,"[30, 30, 30]",0.00025,linear_decay,0.06,False
293,0.65,"[60, 30]",0.001,linear_decay,0.12,False
294,0.9,"[30, 30, 30]",5e-05,fixed,0.006,True
295,0.75,"[60, 30]",0.0001,linear_decay,0.12,False
296,0.8,"[30, 30, 30]",0.0005,linear_decay,0.05,False
297,0.75,"[60, 30]",0.0001,linear_decay,0.05,True
298,0.65,"[30, 30, 30]",0.0005,linear_decay,0.1,False
299,0.7,"[60, 30]",0.0005,linear_decay,0.06,True
300,0.7,"[60, 30]",0.0005,linear_decay,0.06,False
301,0.65,"[60, 30]",0.0001,linear_decay,0.05,False
302,0.7,"[30, 30, 30]",0.001,linear_decay,0.06,False
303,0.8,"[30, 30, 30]",0.0001,linear_decay,0.05,True
304,0.75,"[60, 30]",0.001,linear_decay,0.1,True
305,0.8,"[30, 30, 30]",0.0001,linear_decay,0.08,False
306,0.9,"[30, 30, 30]",0.0005,fixed,0.008,True
307,0.85,"[30, 30, 30]",0.001,linear_decay,0.05,True
308,0.8,"[30, 30, 30]",0.00025,linear_decay,0.12,False
309,0.75,"[60, 30]",0.001,linear_decay,0.06,True
310,0.65,"[60, 30]",0.00025,linear_decay,0.1,True
311,0.75,"[60, 30]",0.0001,linear_decay,0.04,True
312,0.85,"[30, 30, 30]",0.0001,fixed,0.004,False
313,0.7,"[30, 30, 30]",0.00025,linear_decay,0.06,True
314,0.75,"[30, 30, 30]",0.001,linear_decay,0.05,True
315,0.65,"[30, 30, 30]",0.00025,linear_decay,0.12,False
316,0.85,"[60, 30]",0.0001,fixed,0.006,False
317,0.9,"[60, 30]",0.0005,fixed,0.008,False
318,0.6,"[30, 30, 30]",0.001,linear_decay,0.12,False
319,0.65,"[30, 30, 30]",0.001,linear_decay,0.1,False
320,0.6,"[30, 30, 30]",0.00025,linear_decay,0.05,False
321,0.65,"[60, 30]",0.00025,linear_decay,0.05,False
322,0.6,"[30, 30, 30]",0.0005,linear_decay,0.08,False
323,0.7,"[60, 30]",0.0005,linear_decay,0.04,False
324,0.8,"[60, 30]",0.0005,linear_decay,0.05,True
325,0.7,"[60, 30]",0.00025,linear_decay,0.08,True
326,0.8,"[60, 30]",0.00025,linear_decay,0.12,False
327,0.8,"[60, 30]",0.0001,linear_decay,0.06,True
328,0.8,"[30, 30, 30]",0.0001,linear_decay,0.04,False
329,0.8,"[30, 30, 30]",0.001,linear_decay,0.05,False
330,0.65,"[30, 30, 30]",0.00025,linear_decay,0.05,True
331,0.85,"[60, 30]",5e-05,fixed,0.006,True
332,0.7,"[60, 30]",0.0001,linear_decay,0.05,True
333,0.9,"[30, 30, 30]",0.00025,fixed,0.004,False
