,activation_hidden,alpha,batch_size,epochs,hidden_layer_sizes,lambd,learning_rate,learning_rate_init,nesterov,tau
258,logistic,0.75,128,500,"[30, 60]",0.0001,linear_decay,0.005,True,500
259,logistic,0.85,128,500,"[60, 30]",0.0001,fixed,0.001,False,200
260,logistic,0.8,128,500,"[60, 30]",0.00025,linear_decay,0.005,True,200
261,logistic,0.75,128,500,"[30, 60]",0.00025,linear_decay,0.01,False,200
262,logistic,0.85,128,500,"[30, 30, 30]",0.0001,fixed,0.001,False,200
263,logistic,0.8,128,500,"[30, 30, 30]",0.0001,fixed,0.001,False,200
264,logistic,0.75,128,500,"[60, 30]",0.0005,linear_decay,0.01,True,200
265,logistic,0.8,128,500,"[30, 60]",0.00025,linear_decay,0.01,True,200
266,logistic,0.8,128,500,"[60, 30]",0.0001,linear_decay,0.005,True,200
267,logistic,0.8,128,500,"[30, 30]",0.00025,linear_decay,0.1,True,500
268,logistic,0.75,128,500,"[30, 30]",0.001,linear_decay,0.01,True,500
269,logistic,0.75,128,500,"[30, 60]",0.00025,linear_decay,0.01,True,200
270,logistic,0.8,128,500,"[60, 30]",0.001,linear_decay,0.01,False,200
271,logistic,0.8,128,500,"[30, 60]",0.001,linear_decay,0.01,False,500
272,logistic,0.9,128,500,"[30, 30]",0.00025,fixed,0.001,True,200
273,logistic,0.75,128,500,"[30, 60]",0.0001,linear_decay,0.01,True,200
274,logistic,0.9,128,500,"[30, 30, 30]",0.0005,fixed,0.001,True,200
275,logistic,0.9,128,500,"[30, 30, 30]",0.0001,fixed,0.0005,False,200
276,logistic,0.75,128,500,"[60, 30]",0.001,linear_decay,0.01,True,500
277,logistic,0.9,128,500,"[30, 60]",0.0001,fixed,0.001,False,200
278,logistic,0.85,128,500,"[30, 30]",0.0001,linear_decay,0.005,False,200
279,logistic,0.8,128,500,"[60, 30]",0.00025,linear_decay,0.005,False,200
280,logistic,0.8,128,500,"[30, 60]",0.0005,linear_decay,0.01,False,200
281,logistic,0.9,128,500,"[60, 30]",0.0001,fixed,0.0005,False,200
282,logistic,0.75,128,500,"[30, 30]",0.00025,linear_decay,0.005,True,500
283,logistic,0.85,128,500,"[30, 30]",0.0001,linear_decay,0.005,True,200
284,logistic,0.8,128,500,"[30, 30, 30]",0.0001,fixed,0.001,True,200
285,logistic,0.75,128,500,"[30, 30]",0.0005,linear_decay,0.01,False,200
286,logistic,0.85,128,500,"[30, 30]",0.00025,linear_decay,0.1,True,500
287,logistic,0.85,128,500,"[30, 30]",0.00025,linear_decay,0.005,False,200
288,logistic,0.8,128,500,"[30, 60]",0.0005,linear_decay,0.005,True,500
289,logistic,0.75,128,500,"[30, 30, 30]",0.0001,linear_decay,0.005,False,200
290,logistic,0.8,128,500,"[30, 30]",0.00025,linear_decay,0.005,False,500
291,logistic,0.75,128,500,"[60, 30]",0.0001,linear_decay,0.005,False,200
292,logistic,0.75,128,500,"[30, 30]",0.00025,linear_decay,0.005,False,500
293,logistic,0.8,128,500,"[30, 30]",0.0005,linear_decay,0.005,True,500
294,logistic,0.75,128,500,"[30, 30, 30]",0.0005,linear_decay,0.005,True,500
295,logistic,0.8,128,500,"[60, 30]",0.001,linear_decay,0.01,True,200
296,logistic,0.75,128,500,"[30, 30, 30]",0.001,linear_decay,0.01,False,200
297,logistic,0.9,128,500,"[30, 60]",0.00025,fixed,0.001,True,200
298,logistic,0.75,128,500,"[30, 30]",0.001,linear_decay,0.01,False,500
299,logistic,0.75,128,500,"[30, 60]",0.001,linear_decay,0.01,False,500
300,logistic,0.85,128,500,"[30, 30, 30]",0.00025,fixed,0.001,True,200
301,logistic,0.8,128,500,"[30, 30, 30]",0.00025,linear_decay,0.005,True,200
302,logistic,0.8,128,500,"[30, 30]",0.001,linear_decay,0.01,False,200
303,logistic,0.75,128,500,"[30, 30]",0.0005,linear_decay,0.01,True,200
304,logistic,0.8,128,500,"[60, 30]",0.0001,linear_decay,0.005,False,200
305,logistic,0.8,128,500,"[30, 60]",0.0005,linear_decay,0.005,False,500
306,logistic,0.9,128,500,"[30, 30]",0.00025,fixed,0.001,False,200
